uri	myido	myid	mauthor	mtitle	titleCP	urlwd	idwd	mtitle_tree	mpub	myear
http://lkg.org.pl/ns/lkg-core/F1_MON1	0	NFPL136	Lem Stanisław	Dialogi	Dialogs	https://www.wikidata.org/wiki/Q4161033	Q4161033	Dialogi	Wydawnictwo Literackie	1957
http://lkg.org.pl/ns/lkg-core/F1_MON2	1	NFPL301	Lem Stanisław	Summa technologiae	Summa Technologiae	https://www.wikidata.org/wiki/Q1051225	Q1051225	Summa technologiae	Wydawnictwo Literackie	1964
http://lkg.org.pl/ns/lkg-core/F1_MON3	2	NFPL355	Lem Stanisław	Filozofia przypadku	The Philosophy of Chance	https://www.wikidata.org/wiki/Q9259833	Q9259833	Filozofia przypadku	Wydawnictwo Literackie	1968
http://lkg.org.pl/ns/lkg-core/F1_MON4	3	NFPL384	Lem Stanisław	Fantastyka i futurologia	Science Fiction and Futurology	https://www.wikidata.org/wiki/Q9257955	Q9257955	Fantastyka i futurologia	Wydawnictwo Literackie	1970
http://lkg.org.pl/ns/lkg-core/F1_MON5	4	NFPL477	Lem Stanisław	Rozprawy i szkice, 1975, Mój pogląd na literaturę, 2003	Rozprawy i szkice	https://www.wikidata.org/wiki/Q9323288	Q9323288	Rozprawy i szkice, 1975, Mój pogląd na literaturę, 2003	Wydawnictwo Literackie	1975
http://lkg.org.pl/ns/lkg-core/F1_MON6	5	NFPL638	Lem Stanisław	Rozmowy ze Stanisławem Lemem, 1987, Tako rzecze… Lem, 2002 (Ze Stanisławem Lemem rozmawiał Stanisław Bereś)	Tako rzecze… Lem	https://www.wikidata.org/wiki/Q9355312	Q9355312	Rozmowy ze Stanisławem Lemem, 1987, Tako rzecze… Lem, 2002 (Ze Stanisławem Lemem rozmawiał Stanisław Bereś)	Wydawnictwo Literackie	1987
http://lkg.org.pl/ns/lkg-core/F1_MON8	7	NFPL2039	Lem Stanisław	Moloch (Tajemnica chińskiego pokoju + Bomba megabitowa)	Bomba megabitowa	https://www.wikidata.org/wiki/Q9177158	Q9177158	Moloch (Tajemnica chińskiego pokoju + Bomba megabitowa)	Wydawnictwo Literackie	2003
http://lkg.org.pl/ns/lkg-core/F1_MON9	8	NFPL1474	Lem Stanisław	Okamgnienie	Okamgnienie	https://www.wikidata.org/wiki/Q1295961	Q1295961	Okamgnienie	Wydawnictwo Literackie	2000
http://lkg.org.pl/ns/lkg-core/F1_MON10	9	NFPL423	Lem Stanisław	Golem XIV	Golem XIV	https://www.wikidata.org/wiki/Q1536250	Q1536250	Golem XIV	Czytelnik	1973
http://lkg.org.pl/ns/lkg-core/F1_NFPL78	77	NFPL78	Lem Stanisław	Obłok Magellana	The Magellanic Cloud	https://www.wikidata.org/wiki/Q2661598	Q2661598	Obłok Magellana	Iskry	1955
